english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
gravestone; memorial,Noun,enqaqutaq,,,enqaqutaq,,,fotosearch_skc_107_gravestone.jpg,enqaqlluku - Remember it,"Community & Work, Placenames",Alisha,Combined dictionary; Tyzh source Matt. 23:29 'picuusqat enqaqutai' 'the graves of the righteous',TRUE,
cocoa; hot chocolate,Noun,uqniskaq kuukuuq,cocon.mp3,,uqniskaq kuukuuq,cocon.mp3,,uqniskaq_kuukuuq.jpg,,Food & Kitchen,Alisha,New Word,TRUE,
"hot, s/he is; warm, s/he is",Verb,maqartuq,L1.07.11n.mp3,maqartuq llaami. It is hot out.,maqartuq,L1.07.11s.mp3,maqartuq llaami. It is hot out.,Fotosearch_SKC_021.gif,maqar-,"Qualities, Weather",Candace Branson,,TRUE,
massage therapist or masseuse,Noun,ulugta'ista,,,ulugta'ista,,,ulugtaista_copy1.jpg,,People & Roles,Julia,,TRUE,
"lightning, it is",Verb,naniyarkauq,lightening.itis.mp3,,naniyarkauq,,,naniyaq_copy1.jpg,,Weather,Julia,,TRUE,
lightning,Noun,naniyaq,lightening.mp3,,naniyaq,lightenings.mp3,,naniyaq.jpg,,Weather,Julia,,TRUE,
vitamins (things for wellness),Noun,canangaitsuutet,,,canangaitsuutet,,,canangaitsuutet.jpg,,Body & Health,Julia,New Word,TRUE,
accountant,Noun,nuumi_alista,,,nuumi_alista,accountants.mp3,,accountant.jpg,,"Community & Work, People & Roles",Julia,New Word,TRUE,
always shivering,Adjective,,,,ulungtaarluni,,Ulungtaartuq - S/he's always shivering.,shivering.jpg,,"Body & Health, Physical Actions",Julia,Heard from Florence on 6/20/14,TRUE,
find it good enough,Adjective,,,,ugalluku,,Ugataqa - It's good enough for me,,ugate-,"Qualities, Qualities",Julia,"Heard from Florence Probably comes from same root as ugauluni, 'to be nice/kind'",TRUE,
startle it,Verb,,,,tupaglluku,,Tupagtarp'nga - You startled me,,tupagte-,,Julia,"Heard from Florence on 6/20/14 According to Combined Dictionary, intransitive form is 'tupagluni'; the -te- postbase probably shows causation, e.g. 'to cause to be startled'",TRUE,
being snooty,Adjective,,,,piuraarluni,,Piuraartaartut - They are being snooty.,,,"Qualities, Senses & Emotions",Julia,Heard from Florence on 6/20/14,TRUE,
wading,Verb,,,,naluwarluni,,Naluwartut. - They are wading.,,naluwar-,Physical Actions,Julia,Heard from Florence on 6/20/2014,TRUE,
being full,Adjective,aqiturngaluni,,Aqiturngagua - I'm full,,,,,,"Body & Health, Qualities",Julia,Heard from Sophie on 6/19/2014,TRUE,
crave it; desire it,Verb,sulaluku,,Sulakenka. - I craved them.,,,,,sula-,Senses & Emotions,Julia,Heard from Sophie on 6/19/2014,TRUE,
leather,Noun,itegkaq,leather.mp3,,itegkaq; it'gkaq,leather.mp3,,itegkaq.jpg,,"Communication & Arts, Clothing & Regalia",April,From Elders session 12012014,TRUE,
Boyfriend,Noun,tan'uraruaq,boyfriend.mp3,tan'uraruaqa Steve.,tan'uraruaq,boyfriend.mp3,tan'uraruaqa Steve.,tanuraruaq.jpg,tan'uraruaq,People & Roles,Michael Bach,"literally ""like a boy"" or ""kind of a boy""",TRUE,
"love you, I",Verb,qunukamken,L1.11.12n.mp3,,qunukamken,L1.11.12s.mp3,,15587916.gif,,Senses & Emotions,Michael Bach,,TRUE,
lookout; observation point; Pilot Point,Noun,agisaq,,,agisaq,,,,,"Placenames, Environment & Location",Alisha,,TRUE,
mold,Noun,qalleq,,,qalleq,,,,,"Environment & Location, Vegetation",Alisha,Irene Coyle remembered 2015,TRUE,
moldy (to be),Verb,qallegluku,,Qallegtuq. - It is moldy.,qallegluku,,Qallegtuq. - It is moldy.,,,Qualities,Alisha,,TRUE,
walking along the shore (beach combing),Verb,senirlluni,,Senirlluten.,senirlluni,,Senirlluten.,,,"Community & Work, Physical Actions",Alisha,"Larry Matfay says this on a recording (AM218.10 - 10 min mark), heard by Florence Pestrikoff",TRUE,
gym (place to exercise to gain strength),Noun,tukningcarwik,,,tukningcarwik,,,tukningcarwik.jpg,,"Community & Work, Environment & Location",Alisha,,TRUE,
