english,part_of_speech,alutiiq_north,north_audio,north_sentence,alutiiq_south,south_audio,south_sentence,image_name,root_word,category,edited_by,notes,completed,approved
older sister,,,,,alqaq,alqaq,,,,,,,,aakaa,,CDKA (96),
mother,,,,,maama,maama,,,,,,,,aanaq,,CDKA (78),
snail,,,,,ipuk,ipuk,,,,,,,,ac'aruaq,,CDKA (97),
(father's sister),,,,,acak,acak,,,,,,,,acaa,,CDKA (37),
(father's sister),,,,,acaa,acaa,,,,,,,,acak,,CDKA (37),
"bottom part, lower part, the one under it",,,,,atllia,atllia,,,,,,,,aciqllia,,CDKA (42),
go down,,,,,esgwarluni,esgwarluni,,,,,,,,aciwarluni,,CDKA (61),
carry it down,,,,,atraulluku,atraulluku,,,,,,,,aciwaulluku,,CDKA (44),
carry some down,,,,,atraulluni,atraulluni,,,,,,,,aciwaulluni,,CDKA (44),
be low (in stature or position),,,,,atsigluni,atsigluni,,,,,,,,ackinani,,CDKA (75),
tease,,,,,agqacestaarluni,agqacestaarluni,,,,,,,,agagsaa'iluni,,CDKA (106),
tease him,,,,,agqacestaarluku,agqacestaarluku,,,,,,,,agagsaagluku,,CDKA (106),
"bucket, pail",,,,,wiitRuuq,wiitRuuq,,,,,,,,agalek,,CDKA (43),
"pray, read the Bible",,,,,malitguarluni,malitguarluni,,,,,,,,agayuluni,,CDKA (87),
holy picture,,,,,malisaaq,malisaaq,,,,,,,,agayutet,,CDKA (85),
"be bashful, shy ",,,,,qikiluni,qikiluni,,,,,,,,agiyugluni,,CDKA (38),
rainbow,,,,,irluryaq,irluryaq,,,,,,,,agluryaq,,CDKA (89),
tease him,,,,,agagsaagluku,agagsaagluku,,,,,,,,agqacestaarluku,,CDKA (106),
tease,,,,,agagsaa'iluni,agagsaa'iluni,,,,,,,,agqacestaarluni,,CDKA (106),
star,,,,,mit'aq (Karluk),mit'aq (Karluk),,,,,,,,agyaq,,CDKA (101),
what did you say?,,,,,ai?,ai?,,,,,,,,ai?,,CDKA (116),
dog,,,,,piugta,piugta,,,,,,,,aikuq,,CDKA (51),
"go across overland, go by portage",,,,,tegcu'arluni,tegcu'arluni,,,,,,,,"aimqarluni, tugca'arluni",,CDKA (60),
yawn (repeatedly),,,,,aitauwarluni,aitauwarluni,,,,,,,,aitauwaluni,,CDKA (119),
yawn (repeatedly),,,,,aitauwaluni,aitauwaluni,,,,,,,,aitauwarluni,,CDKA (119),
be dim,,,,,tanqianani,tanqianani,,,,,,,,akianani,,CDKA (51),
be bright (direct light),,,,,tanqigluni,tanqigluni,,,,,,,,akirluni,,CDKA (42),
"mix it together, mix it in",,,,,akuulluku,akuulluku,,,,,,,,akulrulluku,,CDKA (77),
"mix it together, mix it in",,,,,akulrulluku,akulrulluku,,,,,,,,akuulluku,,CDKA (77),
scare him,,,,,alingteqlluku,alingteqlluku,,,,,,,,alinglluku,,CDKA (92),
scare him,,,,,alinglluku,alinglluku,,,,,,,,alingteqlluku,,CDKA (92),
"I imagine, maybe",,,,,allrak,allrak,,,,,,,,all'ak,,CDKA (68),
one,,,,,allriluq,allriluq,,,,,,,,all'iluq,,CDKA (82),
be different,,,,,allauluni,allauluni,,,,,,,,allangaluni,,CDKA (51),
be different,,,,,allangaluni,allangaluni,,,,,,,,allauluni,,CDKA (51),
wipe (continuously),,,,,allgurluni,allgurluni,,,,,,,,allegturluku,,CDKA (117),
wipe (continuously),,,,,allegturluku,allegturluku,,,,,,,,allgurluni,,CDKA (117),
make one's bed,,,,,engleliurluni,engleliurluni,,,,,,,,alliqiurluni,,CDKA (39),
"I imagine, maybe",,,,,all'ak,all'ak,,,,,,,,allrak,,CDKA (68),
sometimes,,,,,iliini,iliini,,,,,,,,allrani,,CDKA (98),
