Title,PDF,URL,Author,Year,Grade,Standards,Subjects,Values,Sponsors,Keywords,Notes
They Hunt Whales with Poison Spears,https://youtube.googleapis.com/v/IjjXSeHOYDs?fs=1&ytsession=4UCtBURd2cjDGdce4yDalEPRWUIko-yiiFHOKOz6xjpdyPxGjd4tqfEEtfKFMVUfKniza4bvrWFgvCAXsQMQwbqmACCYtcirSFPVOTN6EdHZruUCZKITz0qmr_ARcxDyGJ6kAu77jSQYXLDccSuxig,https://youtube.googleapis.com/v/IjjXSeHOYDs?fs=1&ytsession=4UCtBURd2cjDGdce4yDalEPRWUIko-yiiFHOKOz6xjpdyPxGjd4tqfEEtfKFMVUfKniza4bvrWFgvCAXsQMQwbqmACCYtcirSFPVOTN6EdHZruUCZKITz0qmr_ARcxDyGJ6kAu77jSQYXLDccSuxig,Frontier Scientists,2011,PreK - 12+,,Science & TEK,"Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet, Crafts - piciipet uswituu'uq, Spirituality - agayumaukut, Respect - ling'aklluki",Alutiiq Heritage Foundation (Alutiiq Museum),"whales, poison, monkshood, shaman, apprentice",
Incorporating Alutiiq Culture into the Classroom: An Educational Tool for Teachers,Clares EducationalResources.pdf,www.alutiiqmuseum.org,Alutiiq Museum,2009,PreK - 12+,,"Science & TEK, Social Studies, Alutiiq Language, Art","Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Language - Sugt'stun niuwacipet, Humor - englarstaisngukut, Spirituality - agayumaukut, Sharing - ilakuisngukut, Trust - sugtanartukut, Respect - ling'aklluki",Alutiiq Heritage Foundation (Alutiiq Museum),,
Alutiiq Disk Toss - Kakangat,K-4_12AlutiiqDiskToss.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,"AK Math [3] E & C-3, Cultural B2","Math, Science & TEK, Social Studies, Alutiiq Language","Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet","Geophysical Institute, UAF","Kakangaq, games",
Alutiiq Disk Toss - Kakangat - Visual Aid,K-4_12TossingDisks_VAid.pdf,http://www.aktsunami.com,Alaska Tsunami Education Program,2008,K - 12+,,"Math, Science & TEK, Social Studies, Alutiiq Language","Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet","Geophysical Institute, UAF","Kakangaq, games",
Gaming Traditions,29 Games.pdf,www.alutiiqmuseum.org,"Steffian, Amy and Counceller, April G. L.",2009,K - 12+,,"Math, Science & TEK, Social Studies, Alutiiq Language","Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, Learning - liicirpet",,"Kakangaq, games, Kaataq, Aigat, Augca'aq",
"Brief Look at the History and Culture of Woody Island, Alaska, A",PullarGordonJrWoodyIsland MA project.pdf,http://www.woodyisland.com/default.aspx,"Pullar, Jr., Gordon",2010,9 - 12+,,Social Studies,"Land - nunapet, People - suupet, Elders - cuqllipet, Family - ilaapet",Tangirnaq Native Village (Woody Island),"history, Woody Island","Gordon Pullar, Jr.'s family originated from Woody Island. He has shared the following information to be shared from the people of Woody Island regarding the Alutiiq history of this unique village in the Kodiak Archipelago. The following is a paper that can be used as background information for a teacher preparing students to visit Woody Island:"
Brief Timeline of Woody Island,PullarGordonJrWoodyPowerpoint.pdf,http://www.woodyisland.com/default.aspx,"Pullar, Jr., Gordon",2010,9 - 12+,,Social Studies,"Land - nunapet, People - suupet, Elders - cuqllipet, Family - ilaapet",Tangirnaq Native Village (Woody Island),"history, Woody Island, boarding school, Katmai, village",The following is a PDF of an original powerpoint that provides some great snapshots of Woody Island history for students:
Alutiiq Design Elements,symbolism and patterns in Alutiiq art.pdf,,,0,PreK - 12+,,Art,"Land - nunapet, Stewardship - nunapet carlia'arluki, Subsistence - unguwacirpet, People - suupet, Elders - cuqllipet, Family - ilaapet , Learning - liicirpet, Crafts - piciipet uswituu'uq, Spirituality - agayumaukut, Respect - ling'aklluki",Kodiak Island Borough School District,"petroglyph, art, design, symbol, pattern, animal",a collection of symbolic designs from various sources
"Walk in Time: Woody Island's History, Use and Occupancy",a walk in time.pdf,http://www.woodyisland.com/default.aspx,"Wooley, Christopher B.",1998,9 - 12+,,"Science & TEK, Social Studies","Land - nunapet, People - suupet, Elders - cuqllipet, Family - ilaapet","Leisnoi, Inc.","history, Woody Island, boarding school, village, archaeology","The following PDF is a publication from the Woody Island Tribal Council. A Walk in Time: Woody Island's History, Use and Occupancy was produced in August 1998 for Leisnoi, Inc."
Current Events of Woody Island - Brush Fire in May 2011,http://www.kmxt.org/index.php?option=com_content&task=view&id=2755&Itemid=2,http://www.kmxt.org/index.php?option=com_content&task=view&id=2755&Itemid=2,,2011,3 - 12+,,Social Studies,Land - nunapet,KMXT,"history, Woody Island, fire, natural disaster",
