translation,postbase_1,example_1,example_1_translation,postbase_2,example_2,example_2_translation,postbase_3,example_3,example_3_translation,complexity_ranking ,clean_postbase_1,clean_postbase_2,notes
because VERB,"-caaqe-",Kuingcaaqlluni ,Because it's walking,-+saaqe-,"Wamningaituq taugna, qenasaaqlluni","She will not play, because she is sick",,,,,,,with suboordinative endings only
question ending (you to me),-+cia(nga),Caqimek niugt'kutarcianga? ,What are you going to tell me?,,,,,,,,,,
Question ending (you to him/her/it),-+ciu,Caqimek niugt'kutarciu? ,What are you going to say to him?,,,,,,,,,,
Question ending (you to them 2),-+cikek,Caqimek niugt'kutarcikek?,What are you going to say to them two?,,,,,,,,,,
question ending (you to them 3),-+ciki,Caqimek niugt'kutarciki?,What are you going to say to them three?,,,,,,,,,,
want to V,+yug-,Agnguaryugtua.,I want to dance.,+cug-,Kuingcugtuten-qaa?,Do you want to walk?,,,,,,,
might V,+suarte-,Katagsuartuq.,It might fall.,+cug-,Taugum piq'rcuaraa mayaciik.,He might strike the ball.,+yuarte-,,,,,,
think Vs,+yuke-,Qawaryukaqa.,I think it is sleeping.,+(t)cuke-,,,,,,,,,
to have Ved already,kaate-,Nerkaask'gka.,I already ate it.,,Aqumakaatua!,I am already sitting!,,,,,,,
when I V it,kumgu,Piugt'qa silugtaartuq kuingtengcarkumgu.,My dog is always happy when I walk him.,,,,,,,,,,
suddenly,kar,"Agyaq anakartuq - That's a shooting star! (lit. ""The star has diarrhea!"")",,,,,,,,,,,
find/consider to be Adj; for Object to be Subject's N,~ke,Yaamaq stuulukiu.,Use that rock as a table.,,Cucunakaqa.,I think it is beautiful.,,Una stuulciikaqa,I am using this as a chair.,,,,
not yet V,~k'saite,Tawaut ag'ksaitua/ag'ksiitua.,I haven't been over there yet,~k'siite,,,,,,,,,~k'siite- is the northern style option of this postbase.
if/when I V (intranstive),kuma,Ag'kuma.,If I go.,,,,,,,,,,
if/when you V,kut / kug'pet,Ag'kut / Ag'kug'pet.,If you go.,,,,,,,,,,
if/when he/she/it Vs,kan,"Candace ag'kan, David imasuugnayartuq.","If Candace goes, David would be sad",,,,,,,,,,
if/when he/she/it Vs ,kuni,"Candace ag'kuni, ellin imasuugnayartuq.","If Candace goes, she would be said",,,,,,,,,,
keep on Ving; to V continuously,lar,Qawarlartua.,I keep falling asleep.,,,,,,,,,,
make Adj; make N,li,IRagkuliyuq.,She is making rope.,,,,,,,,,,
