title_english,title_alutiiq,credit,audio,video,script,script_english_words,script_alutiiq_words,traditional,notes
Louse,Neresta,Larry Matfay,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/09+Neresta.mp3,https://vimeo.com/109844215,,"The louse whisked himself.
He whisked himself long and hard.
The baby louse splashed water on the rocks
and the louse laughed to his little self.
The louse whisked himself.
He whisked himself long and hard.
The baby louse splashed water on the rocks
and the louse laughed to his little self.","Neresta taarimallria.
Taarirpaguarluni.
Ingqim yaamat ciqiluki.
Neresta englaruarluni.
Neresta taarimallria.
Taarirpaguarluni.
Ingqim yaamat ciqiluki.
Neresta englaruarluni.",TRUE," This is a traditional song that tells a silly story of lice washing in the banya! The song translates to: The louse whisked himself, he whisked himself long and hard. The baby louse splashed water on the rocks and the louse laughed to his little self. This song was taught to us by our late chief and elder Larry Matfay. "
The Wise Men,Puqisqat,Jeff Leer,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/pukiskat.mp3,,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs_text/Puqisqat.pdf,"Puqisqat, nallunrailngut PiRsiitam saaRia'i 
nallun'irluku kangirciluku
nunami suucia qilam Angayuqsinaa 
tanqisqamen agyamen ang'at'slluteng, 
t'killuku Wefliyemaq,
asinrit pikiyutkateng ang'at'slluki, 
suulutaaq cali laataq cali mingugtuutaq; 
igs'piarluteng nayangarluteng 
tang'rhngamegt'gu qaiqunami Inarngallria: 
Uswillraaq Uksuilnguq!","The smart, wise kings of Persia recognizing and understanding
that the king of heaven was born
had themselves borne toward the holy star, arrived at Bethlehem,
bearing their best gifts,
gold and frankincense and myrrh; they fell down and worshipped
when they saw Him lying in the cave: the Ageless Child!",TRUE,
These Schooners,Ukut Skuunat,"Mary Peterson, Jennie Zeeder",https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/17+Ukut+Skuunat.mp3,,,"These schooners are making me cry, 
because of my boyfriend. 
What am I going to do afterwards 
they are taking my boyfriend 
away (by boat).","Ukut skuunat gui qiagkwaraatnga 
tan'uraruaqa piteklluku. 
Qa'i-cin kinguatni 
piciqsaanga tan'uraruaqa 
aiwilluku. ",TRUE,"Original song 'These Schooners' remembered and taught courtesy of Mary Peterson and Jennie Zeeder of Akhiok. Transcription by April Laktonen Counceller, Florence Pestrikoff and Nick Alokli, courtesy of the Alutiiq Museum. Generations CD Tracks 1 and 25. Choreographed at Kodiak Alutiiq Week 2015. "
Bashful Eyes,Qikitat Iingalat,Irene Coyle,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/07+Bashful.mp3,,,"I am here. I am here. Bashful. Bashful.
Over there. Over there. Bashful. Bashful.
Over there, also. 
All of us. All of us.
Bashful. Bashful. Eyes. Eyes.","Gui gwani. Gui gwani. Qikitaq. Qikitaq.
Gui gwani. Gui gwani. Qikitaq. Qikitaq.
Ikani, cali.
Guangkuta. Guangkuta.
Qikitaq. Qikitaq. Iingalak. Iingalak.",TRUE,"This song is about being bashful. The song says I am bashful, the ones of there are bashful, everyone has bashful, bashful eyes. This song was written by our elder Irene Coyle. "
Tonight,Unuku,Larry Matfay,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/08+Unuku.mp3,https://vimeo.com/109849485,,"Tonight, tonight I will come.
Bring a little tea with me.
If doggies, doggies bark at me.
Don't you think I'm the boogie man! ","Unuku, unuku taiciqua.
Caayungcugmek tailluanga.
Piugtet, Piugtet qilukaatnga.
Aulaq aulaq pin'illtkicaa!",TRUE,"This song was given to us by our late chief and elder Larry Matfay. This song is an old Alutiiq Song that we sing in Alutiiq, English and Russian. The Russian Version was taught by Duty Wolkoff. "
Alphabet Song,Aapit Atuun,"Kathy Nelson, John 'JP' Pestrikoff",,https://vimeo.com/109754342,,,,FALSE,This is an old courting song a man would sing to Martha as he was trying to win over. 
Alutiiq Ice Cream,Akutaq,Phyllis Peterson,,https://www.youtube.com/watch?v=-sna3smPkHw&feature=youtu.be,,"Mom and Dad
made akutaq in a dish
Then Kuukuwak (baby) came in
And ate up all the akutaq
Mom and dad then
and they had to just lick the dish!","Maamankuk taata-llu 
alutakun akullutek 
Kuukuwak tailuni  
akutallraq piturluku! 
Maamankuk taata-llu 
Kingullrani alutalleq alungluku",FALSE,"This song was taught by Larry Matfay. It is an old Alutiiq Song that tells the story of a family making Akutaq. The story goes that the mother and father were stirring the akutaq in a bowl then the baby of the family came in, ate up all the akutaq and mom and dad only got to lick the bowl! "
Alaska Flag Song,Alas'kaam Flagaa,"April Laktonen Counceller, Florence Pestrikoff, Nick Alokli, Susan Malutin",https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/Alas'kaamFlagaa.mp3,https://vimeo.com/114371820,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs_text/Alas'kaamFlagaa.pdf,"Inglulgen Agyat cungasqami 
Alas'kaam flagaa umyaaqlluku 
Cungasqaq imaq, unum qilaa 
Ingrit nanwat, suit'kaat cali. 
Suulutanek qawangurtuataallriit. 
Ik'gt'sqaq suulutaq nunamek. 
Akisqat agyat pamani et'sqat. 
Taquka'aq, Qalutaq, akirluteng. 
Agyasinaq cimirtaanisqaq
nuna cali imaq akirt'sluku. 
Alas'kaam flagaa qunukarpet. 
Piarait'sqaq flak Alas'kaamek!","Eight stars on blue
Alaska's flag makes you think of
The blue ocean, the night's sky,
The mountains, lakes, and the flowers.
The gold they used to always dream about, The rare gold from the land,
The bright stars located up there
The Bear, The Dipper, they are shining.
The big star that never changes
the land and sea it shines upon.
Alaska's flag that we love.
The simple flag from Alaska!",FALSE,
Whaler Song,Arwam Atuutii,Loren Anderson,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs/18+WhalerDANCERSCD.mp3,https://vimeo.com/109754343,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs_text/Arwam+Atuutii.pdf,"Gui gwani pikiyutaq
Imarmek pikiyutamken
Llatuumluni pisurtuq iimiulluku 
Tukniluni pisurtuq
Suuget nerkwarluki
Ugalluku pisurtuq
Atam cali, Atam cali unguwaqa 
pisurtam tunuwaqa.","I am here as a gift
From the sea I give you a gift
Knowledgeably he hunts with good aim 
He is a strong hunter
He provides food for the people
From the sea I give you a gift
He is a good hunter
And so, and so, my life
the hunter (respectfully) takes it.",FALSE,
Bucking the Waves,Asgurluta,,,https://vimeo.com/109754344,https://s3-us-west-2.amazonaws.com/alutiiq-language-resources/songs_text/Asgurluta.pdf,"We are bucking the waves. 
I am remembering, I am remembering. 
We are bucking the waves. 
I am remembering, I am remembering. 
In our seine 
bucking the waves 
ah-ha-ha, ah-ha-ha 
the whale surfaced. 
(killer whale, sea lion, seal) ","Asgurluta ah-ha-ha. 
Umiaqaqa, umiaqaqa. 
Asgurluta ah-ha-ha. 
Umiaqaqa, umiaqaqa. 
Kugyasirtanemni. 
Asgurluta ag'ngamta 
ah-ha-ha, ah-ha-ha 
ar'uq suart'llria. 
(arlluk, wiinaq, isuwiq) 
(replace repeat) ",FALSE,"Lena Amason Berns wrote this song with the help of Papa George Inga and Paul Kahutak, and Stella Krumry of Old Harbor. A fisherman had gone salmon seining and came back with this story.  It was windy! Bucking the waves all day! Not much fish! But I saw a whale surface, a sealion, a killer whale, and a seal!  So I took that little story to Papa George Inga and abolik Kahutak, to find the fishing words in Alutiiq Stephen Blanchette helped us come up with the motions."
